fecha,usuarios_proyectados,meses_desde_inicio
2026-01-01,15980,198.0
2026-02-01,15983,199.0
2026-03-01,15986,200.0
2026-04-01,15988,201.0
2026-05-01,15990,202.0
2026-06-01,15992,203.0
2026-07-01,15993,204.0
2026-08-01,15994,205.0
2026-09-01,15995,206.0
2026-10-01,15996,207.0
2026-11-01,15996,208.0
2026-12-01,15997,209.0
2027-01-01,15997,210.0
2027-02-01,15998,211.0
2027-03-01,15998,212.0
2027-04-01,15998,213.0
2027-05-01,15998,214.0
2027-06-01,15999,215.0
2027-07-01,15999,216.0
2027-08-01,15999,217.0
2027-09-01,15999,218.0
2027-10-01,15999,219.0
2027-11-01,15999,220.0
2027-12-01,15999,221.0
