barrio,poblacion,renta_media_anual,densidad_hab_km2,renta_media_mensual,categoria_renta,num_estaciones_actuales,score_poblacion,score_desabastecimiento,score_renta,score_densidad,tiene_conexion,score_conectividad,score_total,prioridad
Os Mallos,18000,25869,11000,2156.0,Baja,2,26.0,18.75,0.05752870341028204,9.285714285714285,100,10.0,64.1,Alta
Juan Flórez,10000,66774,13000,5564.0,Alta,4,9.999999999999998,12.5,20.0,12.142857142857142,30,3.0,57.6,Media
Mesoiro,13000,34500,8000,2875.0,Media,2,16.0,18.75,4.26541208590303,4.999999999999999,100,10.0,54.0,Media
La Torre,12000,34000,9000,2833.0,Media,2,13.999999999999998,18.75,4.021646393486581,6.428571428571428,100,10.0,53.2,Media
San Pablo,8000,62000,12000,5167.0,Alta,3,6.0,15.625,17.672525168807745,10.714285714285714,30,3.0,53.0,Media
Ensanche,20000,38000,14000,3167.0,Alta,8,30.0,0.0,5.971771932818175,13.571428571428571,30,3.0,52.5,Media
Monte Alto,12000,28500,9500,2375.0,Media,2,13.999999999999998,18.75,1.3402237769056384,7.1428571428571415,100,10.0,51.2,Media
Agra do Orzán,15000,25751,12500,2146.0,Baja,3,19.999999999999996,15.625,0.0,11.428571428571429,30,3.0,50.1,Media
Matogrande,10000,36000,8500,3000.0,Alta,2,9.999999999999998,18.75,4.996709163152378,5.714285714285714,100,10.0,49.5,Media
Santa Margarita,9000,33000,9800,2750.0,Media,2,8.0,18.75,3.534115008653682,7.571428571428571,100,10.0,47.9,Media
Los Rosales,15000,35000,10000,2917.0,Media,4,19.999999999999996,12.5,4.509177778319479,7.857142857142858,30,3.0,47.9,Media
Barrio de las Flores,8000,30000,9500,2500.0,Media,1,6.0,21.875,2.0715208541549863,7.1428571428571415,100,10.0,47.1,Media
Marineda,11000,31000,7000,2583.0,Media,2,12.0,18.75,2.559052238987885,3.5714285714285707,100,10.0,46.9,Media
Elviña,14000,35500,6500,2958.0,Alta,3,18.0,15.625,4.752943470735929,2.857142857142857,30,3.0,44.2,Media
Labañou,8000,27000,7500,2250.0,Baja,1,6.0,21.875,0.6089266996562904,4.285714285714286,100,10.0,42.8,Media
Palavea,6000,37000,5500,3083.0,Alta,1,2.0,21.875,5.4842405479852765,1.4285714285714286,100,10.0,40.8,Media
Plaza de Pontevedra,7000,40000,11500,3333.0,Alta,3,4.0,15.625,6.946834702483973,9.999999999999998,30,3.0,39.6,Baja
Ventorrillo,6000,26000,6800,2167.0,Baja,1,2.0,21.875,0.12139531482339178,3.2857142857142856,100,10.0,37.3,Baja
Feáns,5000,32500,4500,2708.0,Media,0,0.0,25.0,3.290349316237233,0.0,50,5.0,33.3,Baja
Ciudad Vieja,5000,32000,15000,2667.0,Media,5,0.0,9.375,3.0465836238207835,15.0,30,3.0,30.4,Baja
